Cell_ID,ID,Firing_Pattern,Input_Resistance,Tau_Membrane,Threshold_Current,AP_Halfwidth,Max_DepolRate,Max_RepolRate,AP_Amplitude,Voltage_Threshold,RMP,Sag_90mV,Latency,Depol_Block,Spikes_200pA
06142022_S2C1,P6_TeNT,Tonic,0.384,9.48,60,0.394322,504.473,-167.375,69.8284,-50.1501,-71.28,4.135,5.69054,1,37
10122022_S3C1,P6_TeNT,Tonic,0.258,11.82,60,0.335243,382.461,-195.532,60.5054,-44.8942,-66.85,8.027,6.31484,1,51
12312022_S1C1,P6_TeNT,Tonic,0.1575,8.24,120,0.465289,240.113,-113.409,47.5221,-39.7321,-75.17,5.529,7.74088,1,32
12312022_S1C3,P6_TeNT,Tonic,0.6375,17.36,20,0.41137,346.483,-165.811,59.3792,-43.7679,-71.19,4.312,7.35552,1,49
12312022_S2C1,P6_TeNT,Tonic,0.3,14.97,80,0.497783,256.538,-108.716,50.0249,-32.693,-64.9,9.063,9.86578,0,41
12292023_S1C1,P6_TeNT,Tonic,0.291,11.91,60,0.619564,201.789,-94.6375,51.4328,-42.7668,-72.52,5.959,8.63289,1,29
12292023_S1C3,P6_TeNT,Tonic,0.2449,9.58,80,0.451587,293.298,-144.694,58.8786,-42.9545,-68.79,7.165,5.82614,1,37
12292023_S2C1,P6_TeNT,Tonic,0.2583,10.997,100,0.380214,439.556,-181.454,66.0116,-47.3344,-77.8,3.303,8.09211,0,36
01182024_S1C1,P6_TeNT,Tonic,0.4833,12.65,20,0.950757,156.426,-86.8162,64.2284,-51.1199,-72.61,5.643,10.1025,1,13
01232024_S1C1,P6_TeNT,Tonic,0.2635,16.94,80,0.414213,283.802,-129.001,51.444,-37.0272,-62.09,10.147,9.7894,1,36
01192024_S1C1,P6_TeNT,Tonic,0.5075,17.75,40,1.32529,174.415,-49.2741,62.7267,-49.0551,-76.2,0.57,11.5765,1,16
01192024_S1C2,P6_TeNT,Tonic,0.3965,20.13,50,0.831079,228.381,-96.2018,66.1993,-48.8361,-76.22,2.34,9.55724,1,28
03012024_S1C1,P6_TeNT,Tonic,0.1575,11.2,120,0.452687,331.186,-113.263,52.6957,-45.0551,-73.75,6.913,6.29968,0,15
03132024_S2C1,P6_TeNT,Tonic,0.1863,8.96,80,0.402125,233.765,-111.019,40.9988,-40.1545,-70.03,8.86,6.44648,1,38
03142024_S2C1,P6_TeNT,Tonic,0.2448,18.67,60,0.418452,472.221,-157.147,63.6404,-39.185,-64.67,6.891,7.23105,2,35
03172022_S2C2,P6_iMNTB,Phasic,0.1008,6.28,240,0.296131,386.371,-264.359,63.853,-45.7076,-70.05,9.362,2.61145,0,0
03172022_S2C4,P6_iMNTB,Phasic,0.1563,8.5,220,0.355096,304.248,-181.454,50.6506,-44.5813,-71.59,7.116,2.83833,0,0
03202022_S1C3,P6_iMNTB,Phasic,0.1535,5.57,240,0.529833,222.124,-111.844,47.0528,-49.0864,-76.23,5.98,3.37059,0,0
03282022_S1C2,P6_iMNTB,Phasic,0.337,10.22,120,0.389442,306.594,-183.018,58.5345,-48.8361,-71.96,4.531,3.02447,0,2
03282022_S1C3,P6_iMNTB,Phasic,0.2375,11.46,100,0.482565,228.381,-104.805,47.0216,-41.9221,-73.86,5.614,7.70021,0,1
03282022_S1C4,P6_iMNTB,Phasic,0.1875,9.61,260,0.429276,297.209,-128.269,52.2462,-44.3623,-75.09,5.011,3.44992,0,0
03282022__Evening_S2C1,P6_iMNTB,Phasic,0.1375,6.56,200,0.452885,254.974,-146.258,59.473,-54.9054,-78.66,4.139,3.44902,2,3
03282022__Evening_S2C2,P6_iMNTB,Phasic,0.1725,5.71,140,0.542568,192.404,-106.369,51.5579,-50.2439,-75.44,5.206,4.1265,1,3
06142022_S2C2,P6_iMNTB,Phasic,0.191,7.62,240,0.326748,425.478,-215.085,60.7244,-44.7065,-73.13,6.64,3.00955,0,0
06142022_S2C3,P6_iMNTB,Phasic,0.18,14.04,160,0.398591,290.17,-165.029,51.5892,-50.5255,-71.43,3.805,2.80409,0,1
06142022_S2C4,P6_iMNTB,Phasic,0.2393,12.37,140,0.491104,257.32,-111.844,49.2741,-47.2406,-73.8,5.768,4.44253,0,1
10122022_S1C2,P6_iMNTB,Phasic,0.1588,7.61,220,0.393129,255.756,-140.001,47.3657,-45.6137,-76.08,4.16,4.37702,0,0
10122022_S2C1,P6_iMNTB,Phasic,0.223,11.35,120,0.450584,258.102,-122.012,50.2439,-47.8663,-73.09,5.723,5.48349,0,2
10122022_S3C2,P6_iMNTB,Tonic,0.2135,10.48,80,0.337799,344.137,-179.107,54.5926,-44.3623,-72.81,5.867,6.32928,0,5
10122022_S3C3,P6_iMNTB,Tonic,0.2558,10.26,100,0.241745,581.904,-363.69,71.9558,-48.6171,-73.72,4.544,4.51007,1,50
12312022_S1C2,P6_iMNTB,Phasic,0.1325,5.55,260,0.376756,258.884,-149.387,48.492,-38.7623,-68.48,8.72,3.52828,0,0
12312022_S1C4,P6_iMNTB,Tonic,0.2778,7.18,160,0.348147,347.265,-199.443,58.2842,-45.0819,-71.7,6.489,2.71581,1,19
12312022_S2C2,P6_iMNTB,Phasic,0.2083,9.58,180,0.484073,211.175,-113.409,43.3925,-37.9489,-70.49,8.275,4.82,0,1
12292023_S1C2,P6_iMNTB,Phasic,0.3403,14.57,45,0.622689,240.113,-90.7269,46.6774,-44.4562,-75.39,4.677,9.24417,0,2
03142024_S2C2,P6_iMNTB,Phasic,0.0955,5.67,230,0.42794,254.192,-141.565,50.6506,-43.893,-72.17,9.117,5.06496,0,0
08122022_S1C1,P9_TeNT,Tonic,0.168,8.23,140,0.454286,110.28,-82.1235,28.4069,-35.3522,-69.97,8.065,7.48209,1,27
08122022_S1C4,P9_TeNT,Tonic,0.291,16.49,100,0.344987,338.662,-169.722,52.7155,-37.5422,-63.73,7.589,5.57786,1,40
03232022_S1C1,P9_TeNT,Tonic,0.2975,18.77,100,0.250288,515.423,-322.237,66.0742,-46.4271,-65.88,8.582,4.05966,1,49
