Rp,Rs,Cp,Seal (G?),Leak Before pA,Leak After pA,V membrane,Rinput SAG 1st,Rinput SS 1st,Rinput Ratio,Rinput -5 to +5mV,Rinput SS by 0pA,Tau Membrane -10pA,Sag Peak (-80pA),SS (-80pA),Sag Ratio,Sag (?mV) (-80pA),Sag (?mV) (-95mV),Sag (-100mV),Sag Proportion,?mV,Rheobase pA,AP Threshold (20V.s-1),AP Amplitude (from threshold),HW (ms),Latency (ms),fAHP (Thr-AHP peak),Max rate of rise,dVdt,RMP 1st sweep,dV''dt,dV'''dt,Age
3,6.776,20.59,10,-2,20.59,-72.9718,0.46559,0.09529,0.204665049,0.53294,0.47564,11.78,-111.1993,-95.5894,0.859622318,15.6099,7.7372,8.9082,0.140377682,38.3827,75,-48.3669,55.67,0.98,11.087,18.7431,173.98,26.1516,-72.8166,-43.58,-48.367,5
3.06,5.779,19.87,-3,5,19.87,-77.599,0.65882,0.22915,0.347818828,0.47926,0.43484,19.8498,-116.141,-101.4062,0.873130075,14.7348,2.7891,5.1819,0.126869925,37.9399,95,-44.6089,57.4283,0.74,12.576,21.4781,198.816,16.7622,-78.2011,-38.012,-44.6089,5
3.8,9.7,20.75,>5.5,-6,18,-75.1065,0.29424,0.14119,0.479846384,0.29127,0.37317,20.65,-106.8346,-99.9253,0.935327132,6.9093,1.275,3.6631,0.064672868,29.1814,65,-48.745,73.876,0.92,13.48,23.525,217.26,34.2596,-77.6532,-39.406,-48.6137,6
3.3,9,19.81,>10,-3,-12,-70.6823,0.5112,0.15064,0.294679186,0.51955,0.49132,11.739,-110.6514,-97.3485,0.879776487,13.3029,4.4731,6.7244,0.120223513,40.4317,55,-49.189,74.388,0.592,6.1551,21.834,302.69,17.4705,-70.2197,-44.536,-52.4316,6
2.5,11,18.91,6,-5,6,-72.1421,0.63922,0.28177,0.440802853,0.53576,0.51473,23.46,-115.458,-95.8394,0.830080202,19.6186,7.0271,10.2314,0.169919798,41.5083,70,-46.66,67.17,0.826,9.06,18.22,202.86,21.1235,-73.9497,-39.818,-47.3002,6
4.5,7.5,19.22,8,-5,12,-74.9453,0.55848,0.26361,0.472013322,0.36372,0.39527,14.98,-110.8234,-95.8143,0.864567411,15.0091,6.5028,8.9398,0.135432589,34.9978,105,-46.8,57.281,0.97,8.9,16.532,127.29,9.97884,-75.8256,-43.493,-47.7031,6
2.6,5.8,17.92,5,-7,7,-76.8119,1.3425,0.5128,0.381973929,0.40419,0.61266,12.8,-130.986,-109.148,0.833279893,21.838,5.1693,7.1612,0.166720107,52.8676,50,-47.22,67.54,0.848,15.443,20.402,216.3,24.5021,-78.1184,-41.195,-47.4991,6
2.8,6.7,18.63,8,-2,14,-73.0343,0.77915,0.27618,0.354463197,0.5643,0.57181,13.59,-120.516,-99.9989,0.829756215,20.5171,6.0276,7.4313,0.170243785,42.3976,55,-45.397,63.24,0.832,11.837,22.123,189.89,24.5161,-78.1184,-39.995,-45.723,6
2.4,5.2,15.03,5,-8,23,-78.172,0.61867,0.4605,0.744338662,0.51654,0.57904,10.27,-119.002,-115.785,0.972966841,3.217,-0.643,-0.2246,0.027033159,39.4279,75,-47.1048,64.9334,0.632,11.837,22.8812,242.312,21.4965,-79.5741,-40.025,-47.1048,6
3.6,9.4,16.7,5,-3,20,-77.992,0.4124,0.33825,0.820198836,0.56573,0.65289,19.3484,-120.357,-109.7302,0.911706008,10.6268,2.3362,2.7574,0.088293992,41.4769,85,-49.1493,71.4704,0.552,9.1722,18.8107,279.163,22.3228,-78.8801,-40.994,-49.1493,6
3.6,9,20.87,5,-5,19,-76.8333,0.5941,0.24074,0.405217977,0.52357,0.42555,19.2647,-119.607,-101.8199,0.851287132,17.7871,3.9672,6.7851,0.148712868,43.2171,95,-47.8667,62.514,0.634,9.2209,18.1173,225.045,18.4721,-76.3899,-41.973,-47.8667,6
3.25,8.4,17,>2,8,33,-76.9367,0.2951,0.39138,1.326262284,0.75782,0.8703,10.399,-122.464,-107.9138,0.881187941,14.5502,1.6172,2.3857,0.118812059,42.9434,60,-45.479,65.875,0.644,10.67,28.579,241.49,28.7321,-79.5206,-37.829,-45.6928,7
3.4,6,17.58,>7,-2,44,-81.8451,0.31575,0.21183,0.67087886,0.36072,0.39126,13.625,-111.1271,-106.7502,0.960613568,4.3769,0.5838,1.1744,0.039386432,29.4756,95,-46.231,66.701,0.712,12.759,28.571,225.55,34.1481,-81.6515,-37.3186,-46.5426,7
4.44,10.8,17.62,>15,-3,-10,-74.9593,0.513567143,0.52415,1.02060657,0.42656,0.59,12.1226,-109.6525,-103.3773,0.942771939,6.2752,1.7723,3.5905,0.057228061,32.9263,80,-46.282,67.658,0.728,10.643,23.727,236.69,33.0837,-76.7262,-38.4656,-46.4918,7
3.3,8.4,16.89,>3,-4,12,-76.4629,0.45179,0.22111,0.489408796,0.19519,0.4021,10.134,-106.5271,-96.5653,0.906485767,9.9618,3.42,6.2805,0.093514233,29.5825,105,-46.998,65.123,0.568,7.6754,24.727,244.6,24.7978,-76.9446,-41.6814,-49.0474,7
3.8,13.2,16.93,5,-2,27,-75.2184,0.5294,0.43508,0.821836041,0.53294,0.42463,11.4,-109.3155,-99.7808,0.912778151,9.5347,3.6772,6.3782,0.087221849,32.8731,65,-49.135,72.628,0.634,11.205,23.495,273.61,25.6699,-76.4424,-41.9259,-49.7071,8
3.8,8.2,14.7,5,-7,2,-71.2736,0.55513,0.26449,0.476446958,0.32276,0.36991,8.07,-103.5631,-94.4762,0.912257358,9.0869,5.6901,7.0428,0.087742642,31.8318,55,-50.063,70.815,0.65,7.84,22.567,255.1,24.4235,-71.7313,-43.6566,-50.9376,8
3.6,8.3,16.65,5,-4,47,-79.677,0.41869,0.20112,0.480355394,0.3051,0.29753,7.15,-107.6672,-100.5846,0.934217663,7.0826,1.944,3.9975,0.065782337,28.4421,115,-49.45,68.86,0.44,7.77,23.18,290.051,25.677,-79.2251,-40.3709,-49.4549,8
3.8,8.2,14.9,5,-20,20,-74.6845,0.23433,0.15621,0.666623992,0.28134,0.27646,15.19,-95.2326,-92.7262,0.973681281,2.5064,2.5064,2.5064,0.026318719,21.409,105,-46.003,61.0477,0.524,8.954,24.997,244.921,26.1496,-73.8236,-38.1141,-46.0034,8
4.2,7.2,20.01,10,-5,13,-75.0772,0.37724,0.25716,0.68168805,0.27149,0.25945,7.18,-98.7396,-95.5807,0.96800777,3.1589,1.9581,3.1589,0.03199223,24.3696,90,-51.7361,65.04,0.63,8.29,19.6139,187.823,22.3643,-74.37,-43.1655,-51.7361,8
4.2,11.2,18.24,10,-4,34,-76.358,0.59622,0.26749,0.448643118,0.34799,0.32466,10.11,-107.2907,-98.6348,0.919322924,8.6559,3.2657,5.175,0.080677076,30.3554,140,-48.0169,72.1122,0.51,7.902,17.4121,303.179,22.5449,-76.9353,-38.7674,-48.0169,8
2.58,6.6,13,>10,-5,-4,-76.5653,0.3682,0.1931,0.524443237,0.48493,0.5605,23.8288,-113.588,-102.0698,0.898596683,11.5182,1.5996,3.9059,0.101403317,37.7483,55,-49.201,62.118,0.618,10.829,25.418,211.11,23.2333,-75.8397,-41.6281,-49.8301,9
3.2,6.6,17.06,>10,-6,-4,-75.9813,0.38122,0.17204,0.45128797,0.44376,0.43791,25.171,-112.5099,-97.6679,0.86808272,14.842,4.431,7.822,0.13191728,36.2383,90,-49.48,54.48,0.966,9.1882,16.392,96.688,9.36752,-76.2716,-47.8626,-50.3557,9
3.2,4.8,14.24,>5,-7,-3,-72.2525,0.5208,0.10445,0.200556836,0.49651,0.41819,19.608,-109.7711,-93.8991,0.855408209,15.872,5.866,9.8687,0.144591791,37.462,65,-45.475,54.778,0.838,12.614,20.135,156.13,25.0942,-72.3091,-40.3235,-45.4752,9
3.7,13.1,17.76,>5,-3,27,-75.9018,0.42156,0.31112,0.738020685,0.44049,0.54417,19.398,-115.052,-109.5731,0.952378924,5.4789,-0.2543,0.9856,0.047621076,38.3211,45,-50.972,69.284,0.906,16.401,18.271,199.96,44.0862,-76.7309,-42.8552,-51.0265,9
3.89,6.7,12,>5,-3,30,-76.3027,0.41045,0.29455,0.717626995,0.3662,0.46765,12.961,-111.5333,-108.3909,0.971825455,3.1424,-0.7818,0.0944,0.028174545,35.1309,45,-45.855,67.784,0.646,14.55,29.716,246.19,27.2858,-76.4024,-36.4448,-45.3034,9
4.2,10.3,18.87,13,-3,53,-82.7725,0.37737,0.34017,0.901423007,0.38151,0.40362,15.41,-113.151,-112.38,0.993186096,0.771,-0.1429,0.1551,0.006813904,30.2648,115,-45.8713,58.15,0.6,12.19,21.8957,205.213,26.4442,-82.8862,-39.0447,-45.8713,9
4,10.9,14.33,13,-2,44,-82.2691,0.47557,0.51005,1.072502471,0.38124,0.43981,8.06,-115.416,-114.698,0.993779025,0.718,-0.3116,-0.2681,0.006220975,32.7229,100,-48.3491,67.8102,0.49,9.84,25.0009,276.774,26.6863,-82.6931,-39.715,-48.3491,9
