Cell_ID,ID,Firing_Pattern,Input_Resistance,Tau_Membrane,RMP,Spikes_200pA,Threshold_Current,AP_Amplitude,AP_Halfwidth,Voltage_Threshold,Max_DepolRate,Max_RepolRate,Sag_90mV,Depol_Block
03282022__Evening_S2C2,P6_iMNTB,Phasic,0.1725,5.71,-75.44,3,140,51.5579,0.542568,-50.2439,192.404,-106.369,5.206,1
06142022_S2C2,P6_iMNTB,Phasic,0.191,7.62,-73.13,0,240,60.7244,0.326748,-44.7065,425.478,-215.085,6.64,0
06142022_S2C3,P6_iMNTB,Phasic,0.18,14.04,-71.43,1,160,51.5892,0.398591,-50.5255,290.17,-165.029,3.805,0
06142022_S2C4,P6_iMNTB,Phasic,0.2393,12.37,-73.8,1,140,49.2741,0.491104,-47.2406,257.32,-111.844,5.768,0
10122022_S1C2,P6_iMNTB,Phasic,0.1588,7.61,-76.08,0,220,47.3657,0.393129,-45.6137,255.756,-140.001,4.16,0
10122022_S2C1,P6_iMNTB,Phasic,0.223,11.35,-73.09,2,120,50.2439,0.450584,-47.8663,258.102,-122.012,5.723,0
10122022_S3C2,P6_iMNTB,Tonic,0.2135,10.48,-72.81,5,80,54.5926,0.337799,-44.3623,344.137,-179.107,5.867,1
10122022_S3C3,P6_iMNTB,Tonic,0.2558,10.26,-73.72,50,100,71.9558,0.241745,-48.6171,581.904,-363.69,4.544,0
12312022_S1C2,P6_iMNTB,Phasic,0.1325,5.55,-68.48,0,260,48.492,0.376756,-38.7623,258.884,-149.387,8.72,0
12312022_S1C4,P6_iMNTB,Tonic,0.2778,7.18,-71.7,19,160,58.2842,0.348147,-45.0819,347.265,-199.443,6.489,0
12312022_S2C2,P6_iMNTB,Phasic,0.2083,9.58,-70.49,1,180,43.3925,0.484073,-37.9489,211.175,-113.409,8.275,0
12292023_S1C2,P6_iMNTB,Phasic,0.3403,14.57,-75.39,2,45,46.6774,0.622689,-44.4562,240.113,-90.7269,4.677,0
03142024_S2C2,P6_iMNTB,Phasic,0.0955,5.67,-72.17,0,230,50.6506,0.42794,-43.893,254.192,-141.565,9.117,0
08122022_S1C1,P9_TeNT,Tonic,0.168,8.23,-69.97,27,140,28.4069,0.454286,-35.3522,110.28,-82.1235,8.065,1
08122022_S1C4,P9_TeNT,Tonic,0.291,16.49,-63.73,40,100,52.7155,0.344987,-37.5422,338.662,-169.722,7.589,0
03232022_S1C1,P9_TeNT,Tonic,0.2975,18.77,-65.88,49,100,66.0742,0.250288,-46.4271,515.423,-322.237,8.582,1
03232022_S1C2,P9_TeNT,Tonic,0.1375,7.09,-67.21,32,140,49.5244,0.27232,-40.6081,352.74,-223.689,6.658,0
10142022_S1C1,P9_TeNT,Tonic,0.4025,11.43,-66.95,54,40,50.1188,0.34021,-44.6439,252.627,-183.8,6.127,1
12172022_S1C1,P9_TeNT,Tonic,0.425,14.15,-75.02,48,40,49.5869,0.329275,-43.6115,314.416,-176.761,2.973,1
12172022_S2C1,P9_TeNT,Tonic,0.1235,8.5,-68.32,4,200,69.2966,0.244619,-47.835,581.904,-317.544,9.062,0
12172022_S2C4,P9_TeNT,Tonic,0.2643,15.47,-69.64,39,80,64.7602,0.265055,-43.3299,600.675,-259.667,4.352,0
12172022_S3C1,P9_TeNT,Tonic,0.2253,13.35,-74.28,28,120,59.5669,0.312941,-47.8975,456.763,-204.918,4.219,0
02062024_S1C1,P9_TeNT,Tonic,0.1925,9.58,-75.6,21,160,45.7076,0.380201,-45.7076,235.421,-150.951,4.991,0
02062024_S4C1,P9_TeNT,Tonic,0.1985,10.54,-64.72,33,100,55.8752,0.289833,-37.8237,424.696,-219.778,7.503,0
02072024_S1C1,P9_TeNT,Tonic,0.1588,7.62,-67.68,41,140,72.0497,0.236699,-46.302,653.077,-355.086,6.643,0
