Dim.1,Dim.2,Dim.3,ID,Firing Pattern,Cell ID
14.51915524,-7.341018201,5.695893518,P1_NonInjected,Tonic,05202022_S2C1
9.70374262,-6.52549476,3.210775311,P1_NonInjected,Tonic,08252022_S1C1
17.60782932,-5.931826344,1.805901718,P1_NonInjected,Tonic,08252022_Evening_S1C2
13.73574655,-2.44573842,1.311132791,P1_NonInjected,Tonic,08252022_Evening_S2C1
16.68812674,-8.210978308,2.240178998,P1_NonInjected,Phasic,10052022_S1C1
9.933816623,-2.806696434,4.89561671,P1_NonInjected,Tonic,11022022_S1C1
9.160418969,-2.678100134,-0.518466989,P1_NonInjected,Tonic,11022022_S2C1
13.35866213,-5.057027473,3.317480001,P2_NonInjected,Tonic,07012022_S1C1
7.877288924,-4.788622044,4.235662888,P2_NonInjected,Tonic,08262022_S1C1
11.81955635,-3.60194745,1.291593275,P2_NonInjected,Tonic,11032022_S1C1
9.677272968,-3.127406045,0.184000427,P2_NonInjected,Tonic,11032022_S2C1
6.725112963,-3.629117431,-0.080490476,P2_NonInjected,Tonic,12072022_S1C1
9.760432026,-2.958901839,3.539858877,P2_NonInjected,Tonic,02222022_S1C4
13.02685282,-0.800136827,4.914110799,P2_NonInjected,Tonic,05032022_S1C1
12.65997552,-3.071469863,1.26308605,P2_NonInjected,Tonic,05092022_S1C2
13.48635246,-9.147373135,6.946247843,P2_NonInjected,Tonic,05092022_Evening_S1C2
14.71673586,-4.349619486,2.452201987,P2_NonInjected,Tonic,06032022_S2C1
7.666383613,0.177327251,0.037382931,P3_NonInjected,Tonic,05042022_S2C1
8.970987563,-1.17729536,-0.264606845,P3_NonInjected,Phasic,05242022_S1C2
6.67357547,-2.057291106,0.585415932,P3_NonInjected,Tonic,05242022_S2C1
6.449053716,-2.104009611,-2.230606446,P3_NonInjected,Phasic,06132022_S1C1
10.96561103,-5.322459776,0.060118909,P3_NonInjected,Tonic,08302022_S1C1
6.271553039,-0.461038727,0.190427779,P3_NonInjected,Tonic,08302022_S2C1
10.34255652,-7.287281491,2.434103338,P3_NonInjected,Tonic,09092022_S1C1
6.236232168,-2.653154285,1.535176027,P3_NonInjected,Tonic,09092022_S2C1
6.246934857,-1.147461012,0.812825461,P3_NonInjected,Tonic,11042022_S1C1
5.744661373,-2.430046157,1.866047001,P3_NonInjected,Tonic,11042022_S2C1
